Episode   0 | Reward:   -196.729 | Epsilon: 0.978
Episode   1 | Reward:   -201.608 | Epsilon: 0.927
Episode   2 | Reward:   -196.503 | Epsilon: 0.879
Episode   3 | Reward:   -211.455 | Epsilon: 0.833
Episode   4 | Reward:   -196.344 | Epsilon: 0.790
Episode   5 | Reward:   -204.612 | Epsilon: 0.749
Episode   6 | Reward:   -190.276 | Epsilon: 0.710
Episode   7 | Reward:   -205.624 | Epsilon: 0.673
Episode   8 | Reward:   -207.407 | Epsilon: 0.638
Episode   9 | Reward:   -203.161 | Epsilon: 0.604
Episode  10 | Reward:   -197.815 | Epsilon: 0.573
Episode  11 | Reward:   -210.885 | Epsilon: 0.543
Episode  12 | Reward:   -210.368 | Epsilon: 0.515
Episode  13 | Reward:   -215.910 | Epsilon: 0.488
Episode  14 | Reward:   -193.081 | Epsilon: 0.462
Episode  15 | Reward:   -203.125 | Epsilon: 0.438
Episode  16 | Reward:   -190.522 | Epsilon: 0.416
Episode  17 | Reward:   -203.741 | Epsilon: 0.394
Episode  18 | Reward:   -209.422 | Epsilon: 0.373
Episode  19 | Reward:   -212.709 | Epsilon: 0.354
Episode  20 | Reward:   -224.661 | Epsilon: 0.335
Episode  21 | Reward:   -220.050 | Epsilon: 0.318
Episode  22 | Reward:   -216.535 | Epsilon: 0.301
Episode  23 | Reward:   -212.983 | Epsilon: 0.286
Episode  24 | Reward:   -207.980 | Epsilon: 0.271
Episode  25 | Reward:   -211.959 | Epsilon: 0.257
Episode  26 | Reward:   -219.153 | Epsilon: 0.243
Episode  27 | Reward:   -214.244 | Epsilon: 0.231
Episode  28 | Reward:   -197.761 | Epsilon: 0.219
Episode  29 | Reward:   -218.538 | Epsilon: 0.207
Episode  30 | Reward:   -220.119 | Epsilon: 0.196
Episode  31 | Reward:   -223.251 | Epsilon: 0.186
Episode  32 | Reward:   -223.576 | Epsilon: 0.177
Episode  33 | Reward:   -225.835 | Epsilon: 0.167
Episode  34 | Reward:   -223.993 | Epsilon: 0.159
Episode  35 | Reward:   -223.310 | Epsilon: 0.150
Episode  36 | Reward:   -204.559 | Epsilon: 0.142
Episode  37 | Reward:   -212.216 | Epsilon: 0.135
Episode  38 | Reward:   -230.460 | Epsilon: 0.128
Episode  39 | Reward:   -206.466 | Epsilon: 0.121
Episode  40 | Reward:   -206.658 | Epsilon: 0.115
Episode  41 | Reward:   -209.537 | Epsilon: 0.109
Episode  42 | Reward:   -226.247 | Epsilon: 0.103
Episode  43 | Reward:   -210.723 | Epsilon: 0.098
Episode  44 | Reward:   -210.970 | Epsilon: 0.093
Episode  45 | Reward:   -194.841 | Epsilon: 0.088
